SPECIESID,SpecCode,Genus,Species,FBname,Kingdom,Phylum,Class,Order,Family,group,genus_species,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year,iucn_weight
W-Msc-419448,149648,Callogaza,watsoni,NA,Animalia,Mollusca,Gastropoda,Patellogastropoda,Turbinidae,Gastropods,Callogaza watsoni,NA,NA,NA,NA,NA
W-Msc-383292,149668,Scaphella,robusta,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Volutidae,Gastropods,Scaphella robusta,NA,NA,NA,NA,NA
SLB-178462,149672,Ovulactaeon,meekii,NA,Animalia,Mollusca,Gastropoda,Heterostropha,Acteonidae,Gastropods,Ovulactaeon meekii,NA,NA,NA,NA,NA
W-Msc-532850,149816,Fissurellidea,megatrema,NA,Animalia,Mollusca,Gastropoda,Patellogastropoda,Fissurellidae,Gastropods,Fissurellidea megatrema,NA,NA,NA,NA,NA
W-Msc-540692,149823,Mactra,isabelleana,NA,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,Bivalves,Mactra isabelleana,NA,NA,NA,NA,NA
W-Msc-419892,150014,Cosmotriphora,arnoldoi,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Triphoridae,Gastropods,Cosmotriphora arnoldoi,NA,NA,NA,NA,NA
W-Msc-448233,150306,Olivella,orejasmirandai,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Gastropods,Olivella orejasmirandai,NA,NA,NA,NA,NA
SLB-179220,150510,Cylindrobulla,gigas,NA,Animalia,Mollusca,Gastropoda,Sacoglossa,Cylindrobullidae,Gastropods,Cylindrobulla gigas,NA,NA,NA,NA,NA
W-Msc-533455,150600,Stephopoma,myrakeenae,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Siliquariidae,Gastropods,Stephopoma myrakeenae,NA,NA,NA,NA,NA
W-Msc-533162,150796,Natica,menkeana,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Naticidae,Gastropods,Natica menkeana,NA,NA,NA,NA,NA
W-Msc-532506,150918,Calliostoma,argentum,NA,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,Gastropods,Calliostoma argentum,NA,NA,NA,NA,NA
W-Msc-532537,150933,Calliostoma,rota,NA,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,Gastropods,Calliostoma rota,NA,NA,NA,NA,NA
W-Msc-458229,151022,Marshallora,ostenta,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Triphoridae,Gastropods,Marshallora ostenta,NA,NA,NA,NA,NA
W-Msc-533513,151216,Triphora,atlantica,NA,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Triphoridae,Gastropods,Triphora atlantica,NA,NA,NA,NA,NA
W-Msc-399060,151236,Trophon,pelseneeri,NA,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Gastropods,Trophon pelseneeri,NA,NA,NA,NA,NA
W-Msc-504602,151239,Limopsis,janeiroensis,NA,Animalia,Mollusca,Bivalvia,Arcoida,Limopsidae,Bivalves,Limopsis janeiroensis,NA,NA,NA,NA,NA
W-Msc-197479,151310,Toledonia,punctata,NA,Animalia,Mollusca,Gastropoda,Cephalaspidea,Diaphanidae,Gastropods,Toledonia punctata,NA,NA,NA,NA,NA
W-Msc-532607,151322,Chromodoris,grahami,NA,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Gastropods,Chromodoris grahami,NA,NA,NA,NA,NA
SLB-181978,151932,Cicadosa,cicadoides,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Crustaceans,Cicadosa cicadoides,NA,NA,NA,NA,NA
SLB-182144,152006,Oediceroides,similis,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Crustaceans,Oediceroides similis,NA,NA,NA,NA,NA
W-Oct-287367,152072,Alcyonium,jorgei,Jorge's soft coral,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Corals,Alcyonium jorgei,NA,NA,NA,NA,NA
W-Oct-286563,152083,Thouarella,koellikeri,flat Thouarella,Animalia,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Corals,Thouarella koellikeri,NA,NA,NA,NA,NA
SLB-182283,152086,Pagetina,genarum,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Pagetinidae,Crustaceans,Pagetina genarum,NA,NA,NA,NA,NA
W-Ech-513324,152315,Hesperocidaris,panamensis,NA,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,Echinoderms,Hesperocidaris panamensis,NA,NA,NA,NA,NA
W-Hyd-285932,152322,Synthecium,protectum,fishbone hydroid,Animalia,Cnidaria,Hydrozoa,Leptothecata,Syntheciidae,Hydrozoans,Synthecium protectum,NA,NA,NA,NA,NA
W-Ech-513469,152349,Plesiodiadema,horridum,NA,Animalia,Echinodermata,Echinoidea,Diadematoida,Aspidodiadematidae,Echinoderms,Plesiodiadema horridum,NA,NA,NA,NA,NA
W-Hol-529000,152374,Psolus,diomedeae,NA,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Echinoderms,Psolus diomedeae,NA,NA,NA,NA,NA
W-Oct-286271,152393,Leptogorgia,ramulus,NA,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Corals,Leptogorgia ramulus,NA,NA,NA,NA,NA
W-Oct-290590,152408,Pacifigorgia,senta,NA,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Corals,Pacifigorgia senta,NA,NA,NA,NA,NA
SLB-183243,152584,Calliostoma,tosaense,NA,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Calliostomatidae,Gastropods,Calliostoma tosaense,NA,NA,NA,NA,NA
